ID,Origen,Destino,Fecha_Salida,Hora_Salida_Origen,Fecha_Llegada,Hora_Llegada_Destino,Precio_Vuelo
VU001,Madrid,CDMX,2024-09-24,08:15,2024-09-25,04:47,243.49
VU002,Toronto,Madrid,2024-09-19,13:02,2024-09-19,02:13,425.73
VU003,Sídney,CDMX,2024-09-18,06:45,2024-09-28,22:34,687.33
VU004,Roma,Tokio,2024-09-26,00:48,2024-09-27,22:27,576.35
VU005,París,Tokio,2024-09-25,10:06,2024-09-25,12:06,602.57
VU006,Londres,Tokio,2024-09-26,01:46,2024-09-29,17:07,1462.36
VU007,Berlín,Madrid,2024-09-18,09:53,2024-09-28,19:56,1306.39
VU008,Sídney,Nueva York,2024-09-23,02:02,2024-09-26,09:05,1297.44
VU009,Madrid,Roma,2024-09-09,14:40,2024-09-20,05:23,597.38
VU010,Tokio,Madrid,2024-09-20,20:10,2024-09-28,23:15,328.76
VU011,Berlín,Tokio,2024-09-30,20:44,2024-09-30,21:20,1279.99
VU012,CDMX,Tokio,2024-09-27,01:51,2024-09-29,12:17,192.66
VU013,Sídney,Londres,2024-09-07,20:31,2024-09-19,20:29,300.02
VU014,París,Tokio,2024-09-24,17:34,2024-09-26,23:37,699.81
VU015,Sídney,Berlín,2024-09-12,07:08,2024-09-28,15:05,1158.1
VU016,Madrid,Nueva York,2024-09-21,05:50,2024-09-27,19:04,638.67
VU017,Sídney,Roma,2024-09-17,08:35,2024-09-30,00:43,1109.01
VU018,Toronto,Tokio,2024-09-25,20:21,2024-09-25,09:27,321.42
VU019,CDMX,Londres,2024-09-17,05:32,2024-09-18,20:19,1278.34
VU020,Toronto,Nueva York,2024-09-05,11:48,2024-09-10,17:49,1391.41
